id,created_at,updated_at,active,name,slug,category_id,order,group_category
2239,2022-05-28 04:58:49,2022-05-28 04:58:49,1,PlayStation,playstation-store,18436,500,357
2282,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Автотовары,273290,7337,500,360
2385,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Аквариумы,akvariumy,16472,500,367
2360,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Аксессуары,make_up_acessories,12496,500,365
2324,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Аксессуары для активного отдыха,aksessuary-dlia-otdiha-i-turizma,9745,500,363
2343,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Аксессуары для детей,kids_accessories,12181,500,364
2337,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Аксессуары для женщин,sumki,11033,500,364
2234,2022-05-28 04:58:49,2022-05-28 04:58:49,1,Аксессуары для мобильных телефонов,mobile-smart-accessories,3396,500,356
2340,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Аксессуары для мужчин,sumki,11565,500,364
2220,2022-05-28 04:58:49,2022-05-28 04:58:49,1,Аксессуары для ноутбуков и ПК,computers-notebooks-accessories,2472,500,355
2222,2022-05-28 04:58:49,2022-05-28 04:58:49,1,Аксессуары к планшетам,tablet_covers,2577,500,355
2249,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Атрибутика и сувениры,atributika-i-suveniri-dlya-geymerov,18696,500,357
2328,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Бассейн и аквафитнес,swimming_goods,10221,500,363
2316,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Бокс и единоборства,box,9332,500,363
2268,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Бытовая химия,bytovaya-himiya,5881,500,359
2257,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Бытовая химия,bytovaya-himiya,4992,500,358
2284,2022-05-28 04:58:50,2022-05-28 04:58:50,1,"Ванны, боксы, душевые",vanny-boksy-dushevyye,7813,500,361
2315,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Велосипеды и аксессуары,velosipedy-i-aksessuary,9234,500,363
2392,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Вино,vino,14946,500,368
2252,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Встраиваемая техника,builtin-tekhnika,17900,500,358
2364,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Высокотехнологичные игрушки,robototehnika,17003,500,366
2367,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Гигиена и уход за ребенком,kupanie-i-gigiena,13623,500,366
2223,2022-05-28 04:58:49,2022-05-28 04:58:49,1,Графические планшеты,grafic-tablets,17942,500,355
2260,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Декор для дома,decoration_for_home,17272,500,359
2359,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Декоративная косметика,make_up,12384,500,365
2347,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Дерматокосметика,dermatokosmetika,18235,500,365
2371,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Детская комната,detskaya-komnata,13854,500,366
2342,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Детская обувь,detskaya-obuv,12146,500,364
2341,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Детская одежда,detskaya-odegda,11628,500,364
2368,2022-05-28 04:58:50,2022-05-28 04:58:50,1,"Детская одежда, обувь и аксессуары",detskaja-odejda-obuv-i-aksessuary,13805,500,366
2375,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Детские книги,literatura,19141,500,366
2363,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Детское питание,pitanie-i-kormlenie,13350,500,366
2258,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Для красоты и здоровья,krasota-i-zdorovye,5076,500,358
2262,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Домашний текстиль,home_textile,5412,500,359
2391,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Доставка из ресторанов и кафе,restorani,18157,500,368
2390,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Доставка из супермаркетов,produtovie-seti,18145,500,368
2336,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Женская обувь,women_shoes,10865,500,364
2320,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Живопись и графика,zhivopis-i-grafika,9458,500,363
2382,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Животноводство,givotnovodstvo,18181,500,367
2333,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Зимние виды спорта,zimnie-vidy-sporta,17886,500,363
2247,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Игровая периферия,igrovaya-periferiya,18646,500,357
2327,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Игровые виды спорта,igrovye-vidy-sporta,10137,500,363
2243,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Игровые компьютеры,game-computers,18546,500,357
2248,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Игровые маршрутизаторы,igrovoy-routers,18691,500,357
2244,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Игровые мониторы,game-monitors,18566,500,357
2242,2022-05-28 04:58:49,2022-05-28 04:58:49,1,Игровые ноутбуки,game-notebooks,18501,500,357
2237,2022-05-28 04:58:49,2022-05-28 04:58:49,1,Игровые приставки,consoles,18426,500,357
2240,2022-05-28 04:58:49,2022-05-28 04:58:49,1,Игровые приставки Nintendo,consoles,18491,500,357
2241,2022-05-28 04:58:49,2022-05-28 04:58:49,1,Игровые приставки Xbox,consoles,18496,500,357
2362,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Игрушки,detskie-igrushki,13231,500,366
2238,2022-05-28 04:58:49,2022-05-28 04:58:49,1,Игры,games,18431,500,357
2312,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Инвентарь для дома,inventar-dlia-doma-i-ofisa,8926,500,362
2266,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Инвентарь для дома и офиса,hoziaistvenniy-inventar,5748,500,359
2287,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Инженерная сантехника,ingenernaya-santehnika,16568,500,361
2289,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Инсталляции и комплектующие,installyatsionnye-sistemy,7960,500,361
2291,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Инструменты,tools,8016,500,361
2276,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Инструменты,tools,6707,500,360
2229,2022-05-28 04:58:49,2022-05-28 04:58:49,1,Интерактивное оборудование,interaktivnoe-oborudovanie,17956,500,355
2356,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Интимные товары,https:,18955,500,365
2303,2022-05-28 04:58:50,2022-05-28 04:58:50,1,"Камины, печи, сауны",kaminy-pechi-sauny,8520,500,362
2264,2022-05-28 04:58:50,2022-05-28 04:58:50,1,"Камины, печи, сауны",kaminy-pechi-sauny,5965,500,359
2286,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Керамика,keramika,7911,500,361
2253,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Климатическая техника,climate-tekhnika,4453,500,358
2272,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Ковры,kovrovye-izdeliya,6224,500,359
2225,2022-05-28 04:58:49,2022-05-28 04:58:49,1,Комплектующие,komplektuyushchiye,2717,500,355
2245,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Комплектующие для геймеров,komplektuyushchie-dlya-geymerov,18601,500,357
2226,2022-05-28 04:58:49,2022-05-28 04:58:49,1,Компьютеры,computers,2864,500,355
2334,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Конный спорт,konniy-sport-4659372,18175,500,363
2310,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Корма для животных,korma-dlya-zhivotnykh,8849,500,362
2387,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Корма для рептилий,korma-dlya-reptiliy,17878,500,367
2384,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Корма для рыб,korma-dlia-ryb,18075,500,367
2346,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Косметика и парфюмерия,krasota-i-zdorovje,18229,500,365
2361,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Косметика по уходу для детей,kosmetika-po-uhody-dlia-detei,12783,500,365
2397,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Крепкие напитки,krepkie-napitki,15072,500,368
2251,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Крупная бытовая техника,big-bytovaya-tekhnika,4313,500,358
2254,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Кухня,tehnika-dlya-kuhni,4607,500,358
2393,2022-05-28 04:58:50,2022-05-28 04:58:50,1,"Ликеры, вермуты, сиропы",liquor-vermouth-syrup,15009,500,368
2350,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Личная гигиена,sredstva-gigieny,12671,500,365
2261,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Мебель,mebel,5307,500,359
2298,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Мебель для ванной комнаты,mebel-dlya-vannoy-komnaty,8233,500,361
2285,2022-05-28 04:58:50,2022-05-28 04:58:50,1,"Мойки, смесители, сифоны",moyki-smesiteli-sifony,7869,500,361
2339,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Мужская обувь,men_shoes,11418,500,364
